λ(nm) n k
1046 1.8490081 0.000938993
1047 1.848878 0.000936841
1048 1.8487492 0.000934713
1049 1.8486222 0.000932619
1050 1.8484952 0.000930525
1051 1.8483683 0.000928432
1052 1.8482413 0.000926338
1053 1.8481143 0.000924244
1054 1.8479873 0.000922151
1055 1.8478603 0.000920057
1056 1.8477334 0.000917963
1057 1.8476063 0.00091587
1058 1.8474793 0.000913776
1059 1.8473524 0.000911682
1060 1.8472254 0.000909589
1061 1.8471016 0.000907554
1062 1.8469784 0.000905534
1063 1.8468554 0.000903514
1064 1.8467323 0.000901494
1065 1.8466092 0.000899474
1066 1.8464862 0.000897454
1067 1.8463631 0.000895434
1068 1.84624 0.000893414
1069 1.8461169 0.000891394
1070 1.8459939 0.000889374
1071 1.8458707 0.000887354
1072 1.8457477 0.000885334
1073 1.8456246 0.000883314
1074 1.845503 0.000881328
1075 1.8453819 0.000879351
1076 1.8452606 0.000877374
1077 1.8451394 0.000875396
1078 1.8450181 0.000873419
1079 1.8448969 0.000871442
1080 1.8447758 0.000869465
1081 1.8446546 0.000867487
1082 1.8445333 0.00086551
1083 1.8444121 0.000863533
1084 1.8442909 0.000861555
1085 1.8441697 0.000859578
1086 1.8440485 0.000857601
1087 1.8439294 0.000855667
1088 1.8438118 0.000853762
1089 1.8436941 0.000851857
1090 1.8435764 0.000849951
1091 1.8434588 0.000848046
1092 1.8433412 0.000846141
1093 1.8432236 0.000844236
1094 1.8431059 0.000842331
1095 1.8429883 0.000840426
1096 1.8428706 0.000838521
1097 1.8427529 0.000836615
1098 1.8426353 0.00083471
1099 1.8425176 0.000832805
1100 1.8424 0.0008309
